REF_AREA,area_name,TIME_PERIOD,teaching_hours,non_teaching_hours,admin_stress_high_pct,school_recommend_positive_pct
PRT,Portugal,2024,19.4483618,20.253032779999998,79.26867841,89.50352803999999
BEL,Belgium,2024,18.79006426,16.525418459999997,70.32248167,84.9425913
AUS,Australia,2024,19.26086846,24.70584335,69.01617857,82.91312336
MNE,Montenegro,2024,20.15310073,15.572078770000005,66.25829042,87.52178719
ZAF,South Africa,2024,26.6087358,9.391958630000001,66.12196045,72.39865823
CRI,Costa Rica,2024,29.30295399,11.863483610000003,65.17193037999999,80.44505050000001
SWE,Sweden,2024,18.56066367,23.779244539999997,64.79150637000001,83.99885936
ESP,Spain,2024,20.74207862,17.98644059,64.25874881,86.02645218
SRB,Serbia,2024,18.57401142,17.78874412,64.16825164,84.85317475
SVN,Slovenia,2024,22.17207126,17.49874471,63.04811407,80.53747191
JPN,Japan,2024,17.39303129,35.615434480000005,62.822299869999995,55.71183137
FRA,France,2024,18.96158896,18.263806520000003,57.65948419,79.6377446
CHL,Chile,2024,28.43463019,9.855948859999998,56.879278330000005,83.64743288
HRV,Croatia,2024,20.88389012,19.64026108,56.834593749999996,83.03658908
AUT,Austria,2024,19.66233393,17.971112180000002,56.56791283,86.03211364
ITA,Italy,2024,17.4963319,13.522940079999998,56.236612040000004,86.6470632
NZL,New Zealand,2024,20.83369279,24.60359836,55.816885580000005,84.91866877000001
HUN,Hungary,2024,21.41869386,18.730198740000002,55.04924988,87.09168832
BRA,Brazil,2024,23.60676585,8.715875630000003,54.35039054,89.02548490000001
MLT,Malta,2024,18.77982886,18.95075751,53.467280779999996,86.76829422
SVK,Slovak Republic,2024,20.51948122,15.289493510000003,53.037468880000006,82.82435415
MKD,North Macedonia,2024,23.24185879,9.433095689999998,53.00990442,86.47216792
SGP,Singapore,2024,17.56677225,29.2159761,52.819965599999996,75.31795075000001
NOR,Norway,2024,15.91911762,22.06808205,52.62289079,89.19949306999999
LTU,Lithuania,2024,22.42764673,16.719127479999997,51.16805781,84.13624436
CZE,Czechia,2024,19.02089633,19.794543340000004,51.06122304,88.4892634
SAU,Saudi Arabia,2024,21.71904189,7.989869729999999,50.627134760000004,87.58720379
NLD,Netherlands,2024,16.15859448,18.3655152,49.95781466,83.11559456
KOR,Korea,2024,18.65225721,24.4468926,49.63485972,72.48416115
TUR,Türkiye,2024,21.78416018,7.90774863,47.93836222,71.96838806
XKV,Kosovo,2024,18.92929346,10.095648789999998,47.155123540000005,90.60678407
BHR,Bahrain,2024,24.59470134,12.931432710000003,44.73313122,81.11753875
POL,Poland,2024,20.87139787,15.03980382,43.81317874,82.26726342
DNK,Denmark,2024,19.43510223,19.47591122,42.31732132,87.60927612
ARE,United Arab Emirates,2024,23.65120362,16.724801519999996,40.95408355,88.49874474
VNM,Viet Nam,2024,23.31383833,20.17411126,40.807601338,93.75501320000001
FIN,Finland,2024,21.5943203,13.15542104,40.17533502,81.86959412
EST,Estonia,2024,20.70457862,17.084664840000002,39.12731582,83.13836622
CA48,Alberta,2024,27.08309117,19.25933761,38.86807744,86.03445015
LVA,Latvia,2024,22.24961676,14.582374680000004,38.320247062,89.10824932
ROU,Romania,2024,18.16987814,17.24344087,36.95752136,88.79864292
BGR,Bulgaria,2024,20.69043812,17.276000990000004,35.57560726,93.57529052999999
UZB,Uzbekistan,2024,20.8264106,11.673158439999998,31.331910126,88.50894155
ISL,Iceland,2024,19.72343105,17.020802570000004,31.2903322,91.05021396000001
ALB,Albania,2024,15.811173,12.77493789,31.240387310000003,93.45343864
COL,Colombia,2024,25.98816868,12.699557049999996,30.65038642,93.44963921
AZE,Azerbaijan,2024,19.44070377,3.732565860000001,30.19256615,84.99574871
CYP,Cyprus,2024,18.09588787,13.521916140000002,29.79123769,81.07546737
CN09,Shanghai,2024,20.0165997,26.30606357,29.227563529999998,75.61528037
USA,United States,2024,27.37337546,16.75333777,28.911611549999996,81.38128244
ISR,Israel,2024,20.75572553,9.22102856,28.364115542999997,89.42753289000001
KAZ,Kazakhstan,2024,22.37558149,12.43387994,25.39941394,89.61231933
MAR,Morocco,2024,21.41463735,9.01106196,24.638682151,78.90591587
