,count,mean,std,min,25%,50%,75%,max
total_work_hours,53.0,37.393569912264155,5.480719581785299,23.17326963,34.74974134,37.63344611,40.1488926,53.00846577
teaching_hours,53.0,20.96608828150943,3.0671913062981413,15.811173,18.92929346,20.70457862,22.24961676,29.30295399
non_teaching_hours,53.0,16.42748163075472,5.880879410497303,3.732565860000001,12.699557049999996,16.75333777,19.25933761,35.615434480000005
admin_stress_high_pct,53.0,48.298689825660375,13.53502474042584,24.638682151,38.320247062,50.627134760000004,56.834593749999996,79.26867841
school_recommend_positive_pct,53.0,84.36051741339622,6.583360431740442,55.71183137,81.86959412,84.99574871,88.50894155,93.75501320000001
